Voltage,Current
-1.9999691247940,-2.958773438877e-05
-1.9899691343307,-2.923982901848e-05
-1.9799576997757,-2.897817103076e-05
-1.9699647426605,-2.862863766495e-05
-1.9599581956863,-2.835834311554e-05
-1.9499781131744,-2.807166310959e-05
-1.9399808645248,-2.787017365335e-05
-1.9299689531326,-2.766785109998e-05
-1.9199690818787,-2.745016354311e-05
-1.9099694490433,-2.722456156334e-05
-1.8999660015106,-2.700732329686e-05
-1.8899630308151,-2.675377982087e-05
-1.8799610137939,-2.65452235908e-05
-1.8699557781219,-2.632980613271e-05
-1.8599841594696,-2.620806844789e-05
-1.8499859571457,-2.599993786134e-05
-1.8399844169617,-2.575171492936e-05
-1.8299798965454,-2.554974525992e-05
-1.8199682235718,-2.534780287533e-05
-1.8099670410156,-2.511196544219e-05
-1.7999591827393,-2.490562110324e-05
-1.7899620532990,-2.4703618692e-05
-1.7799546718597,-2.453232809785e-05
-1.7699877023697,-2.435911119392e-05
-1.7599859237671,-2.415172821202e-05
-1.7499779462814,-2.400028279226e-05
-1.7399809360504,-2.383371611359e-05
-1.7299715280533,-2.361545739404e-05
-1.7199778556824,-2.341632898606e-05
-1.7099695205688,-2.32439069805e-05
-1.6999630928040,-2.301686436113e-05
-1.6899589300156,-2.286139897478e-05
-1.6799867153168,-2.259711072838e-05
-1.6699881553650,-2.243062044727e-05
-1.6599812507629,-2.222228067694e-05
-1.6499770879745,-2.206753924838e-05
-1.6399695873260,-2.189526821894e-05
-1.6299695968628,-2.172562744818e-05
-1.6199690103531,-2.151642911485e-05
-1.6099678277969,-2.130300526915e-05
-1.5999701023102,-2.113910704793e-05
-1.5899904966354,-2.103627775796e-05
-1.5799882411957,-2.083260187646e-05
-1.5699906349182,-2.066503111564e-05
-1.5599842071533,-2.04890857276e-05
-1.5499824285507,-2.031711119344e-05
-1.5399746894836,-2.017242695729e-05
-1.5299658775330,-1.995324055315e-05
-1.5199627876282,-1.976146086236e-05
-1.5099617242813,-1.965503906831e-05
-1.4999971389771,-1.948680619535e-05
-1.4899901151657,-1.931667429744e-05
-1.4799879789352,-1.914120184665e-05
-1.4699857234955,-1.897963011288e-05
-1.4599769115448,-1.881211028376e-05
-1.4499849081039,-1.863327270257e-05
-1.4399747848511,-1.844405414886e-05
-1.4299758672714,-1.831833651522e-05
-1.4199684858322,-1.814247843868e-05
-1.4099898338318,-1.801562939363e-05
-1.3999958038330,-1.784873347788e-05
-1.3899865150452,-1.76455523615e-05
-1.3799873590469,-1.751144918671e-05
-1.3699822425842,-1.734706529533e-05
-1.3599761724472,-1.717597842799e-05
-1.3499765396118,-1.699610947981e-05
-1.3399746417999,-1.685547613306e-05
-1.3299715518951,-1.669152879913e-05
-1.3200002908707,-1.651202182984e-05
-1.3099957704544,-1.637940295041e-05
-1.2999963760376,-1.62257674674e-05
-1.2899891138077,-1.608814091014e-05
-1.2799910306931,-1.591614091012e-05
-1.2699831724167,-1.57894592121e-05
-1.2599790096283,-1.559982774779e-05
-1.2499725818634,-1.547273677716e-05
-1.2399663925171,-1.530566805741e-05
-1.2299983501434,-1.517317741673e-05
-1.2200000286102,-1.501135648141e-05
-1.2099951505661,-1.484292624809e-05
-1.1999970674515,-1.471367249906e-05
-1.1899852752686,-1.454965604353e-05
-1.1799830198288,-1.439968309569e-05
-1.1699829101563,-1.426263406756e-05
-1.1599794626236,-1.413340942236e-05
-1.1499760150909,-1.397439609718e-05
-1.1399987936020,-1.382831214869e-05
-1.1299965381622,-1.367416825815e-05
-1.1199892759323,-1.350439742964e-05
-1.1099908351898,-1.33854964588e-05
-1.0999882221222,-1.322505340795e-05
-1.0899890661240,-1.310420338996e-05
-1.0799784660339,-1.297563176195e-05
-1.0699740648270,-1.279521075048e-05
-1.0599713325500,-1.268205141969e-05
-1.0500044822693,-1.252722995559e-05
-1.0400062799454,-1.237146898347e-05
-1.0299986600876,-1.226473523275e-05
-1.0199918746948,-1.213345422002e-05
-1.0099880695343,-1.199700636789e-05
-0.9999862909317,-1.185827477457e-05
-0.9899815917015,-1.171789335785e-05
-0.9799774885178,-1.157025326393e-05
-0.9699718356133,-1.141706616181e-05
-0.9600011706352,-1.127725681727e-05
-0.9499974250793,-1.113873167924e-05
-0.9399997591972,-1.099982819142e-05
-0.9299957156181,-1.085699113901e-05
-0.9199945330620,-1.073056955647e-05
-0.9099904894829,-1.057846657204e-05
-0.8999852538109,-1.044017790264e-05
-0.8899837136269,-1.033137959894e-05
-0.8799813985825,-1.021768093779e-05
-0.8700101375580,-1.008382787404e-05
-0.8599921464920,-9.960725947167e-06
-0.8499855995178,-9.859884812613e-06
-0.8399844765663,-9.726853932079e-06
-0.8299807310104,-9.594583389116e-06
-0.8199821114540,-9.448339369555e-06
-0.8099738955498,-9.32028524403e-06
-0.7999695539474,-9.200321983371e-06
-0.7899662256241,-9.081935786526e-06
-0.7799941897392,-8.950044502853e-06
-0.7699980139732,-8.819548384054e-06
-0.7599929571152,-8.708732821106e-06
-0.7499928474426,-8.558959962102e-06
-0.7399845719337,-8.440555575362e-06
-0.7299749255180,-8.329191587109e-06
-0.7199720144272,-8.184753824025e-06
-0.7099717855453,-8.080758561846e-06
-0.6999703049660,-7.944891876832e-06
-0.6899993419647,-7.827202352928e-06
-0.6799936890602,-7.697932232986e-06
-0.6699893474579,-7.572955837531e-06
-0.6599885225296,-7.448984433722e-06
-0.6499911546707,-7.328491847147e-06
-0.6399857401848,-7.21722290109e-06
-0.6299837231636,-7.092181476764e-06
-0.6199800968170,-6.962743100303e-06
-0.6099731922150,-6.83889584252e-06
-0.6000094413757,-6.72852866046e-06
-0.5899985432625,-6.59946590531e-06
-0.5799973607063,-6.486179700005e-06
-0.5699886083603,-6.375558314176e-06
-0.5599830150604,-6.261900125537e-06
-0.5499826669693,-6.14885448158e-06
-0.5399801731110,-6.031201337464e-06
-0.5299789905548,-5.914112080063e-06
-0.5199773907661,-5.817395503982e-06
-0.5100059509277,-5.697789674741e-06
-0.5000061392784,-5.577489446296e-06
-0.4899992942810,-5.465190042742e-06
-0.4800024330616,-5.364317530621e-06
-0.4699957966805,-5.234828677203e-06
-0.4599928855896,-5.125299139763e-06
-0.4499828815460,-5.013001555199e-06
-0.4399761557579,-4.903867193207e-06
-0.4299796521664,-4.787235411641e-06
-0.4200075864792,-4.66974097435e-06
-0.4100044667721,-4.566537427309e-06
-0.3999982178211,-4.464791345526e-06
-0.3899971544743,-4.354607881396e-06
-0.3799976706505,-4.229839305481e-06
-0.3699963986874,-4.119930054003e-06
-0.3599926233292,-4.013550096715e-06
-0.3499888777733,-3.911343810614e-06
-0.3399815857410,-3.800545755439e-06
-0.3299807906151,-3.700343995661e-06
-0.3200005590916,-3.581951887099e-06
-0.3100046217442,-3.474497134448e-06
-0.2999998331070,-3.365477596162e-06
-0.2899950146675,-3.264493443567e-06
-0.2799906134605,-3.161622089465e-06
-0.2699841260910,-3.060560857193e-06
-0.2599789202213,-2.953951707241e-06
-0.2499813884497,-2.847727955668e-06
-0.2399796396494,-2.738059265539e-06
-0.2300072908401,-2.630649305502e-06
-0.2200016528368,-2.523898274376e-06
-0.2099997252226,-2.423484147585e-06
-0.1999982148409,-2.321695546925e-06
-0.1899925172329,-2.214741925854e-06
-0.1799839287996,-2.111521780535e-06
-0.1699770390987,-2.002334895224e-06
-0.1599742025137,-1.897550077956e-06
-0.1499698758125,-1.792755483621e-06
-0.1400047391653,-1.692481987448e-06
-0.1299989968538,-1.584782808095e-06
-0.1199911907315,-1.480069158788e-06
-0.1099853441119,-1.373421355311e-06
-0.0999807491899,-1.265529249395e-06
-0.0899787992239,-1.154748247245e-06
-0.0799788236618,-1.045827389135e-06
-0.0699640586972,-9.300725878347e-07
-0.0599517375231,-8.144855883074e-07
-0.0499774366617,-6.949430826353e-07
-0.0399816296995,-5.71975931507e-07
-0.0299811214209,-4.42195641881e-07
-0.0199799370021,-3.051486885397e-07
